infinitive,past simple,past participle
awake,awoke,awoken
be,"was, were",been
beat,beat,beaten
become,became,become
begin,began,begun
bend,bent,bent
bet,bet,bet
bid,bid,bid
bind,bound,bound
bite,bit,bitten
blow,blew,blown
break,broke,broken
bring,brought,brought
broadcast,broadcast,broadcast
build,built,built
burn,burned or burnt,burned or burnt
burst,burst,burst
buy,bought,bought
catch,caught,caught
choose,chose,chosen
come,came,come
cost,cost,cost
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
do,did,done
draw,drew,drawn
dream,dreamed or dreamt,dreamed or dreamt
drive,drove,driven
drink,drank,drunk
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
fly,flew,flown
forecast,forecast,forecast
foresee,foresaw,foreseen
forget,forgot,forgotten
forgive,forgave,forgiven
freeze,froze,frozen
get,got,got or gotten
give,gave,given
go,went,gone
grow,grew,grown
hang,hung,hung
have,had,had
hear,heard,heard
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
keep,kept,kept
kneel,knelt,knelt
know,knew,known
lay,laid,laid
lead,led,led
learn,learned or learnt,learned or learnt
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
light,lit,lit
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
pay,paid,paid
put,put,put
quit,quit,quit
read,read,read
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
say,said,said
see,saw,seen
seek,sought,sought
sell,sold,sold
send,sent,sent
set,set,set
shake,shook,shaken
shine,shone,shone
shoot,shot,shot
show,showed,showed or shown
shrink,shrank,shrunk
shut,shut,shut
sing,sang,sung
sit,sat,sat
sleep,slept,slept
smell,smelt or smelled,smelt or smelled
speak,spoke,spoken
spend,spent,spent
stand,stood,stood
steal,stole,stolen
swim,swam,swum
take,took,taken
teach,taught,taught
tear,tore,torn
tell,told,told
think,thought,thought
throw,threw,thrown
understand,understood,understood
wake,woke,woken
wear,wore,worn
win,won,won
write,wrote,written
